text,intent,sentiment
Issue ID TKTd727322d: Facing problem with ZENDBiz Connect 500.,Technical,Neutral
Ticket TKT274a58e9: Please process refund for ZENDStorage 1TB.,Refund,Angry
Inquiry TKT418e2c62: Tell me about ZENDEnterprise Ultra plans in India.,Product Inquiry,Happy
Complaint TKTf3a8a337: I am disappointed with ZENDFiber Home 100 Mbps in Singapore.,Complaint,Neutral
Invoice INVc0b2f368: My ZENDBiz Connect 100 bill in India seems incorrect.,Billing,Neutral
Inquiry TKT55096366: Tell me about Prepaid Basic plans in USA.,Product Inquiry,Neutral
Complaint TKTee2399a3: I am disappointed with ZENDOffice Net 1G in USA.,Complaint,Angry
Inquiry ID TKTf162c6ba: Need pricing details of ZENDSmart Traffic.,Product Inquiry,Neutral
Issue ID TKTb3b17397: Facing problem with ZENDCloud VM Basic.,Technical,Neutral
Refund request TKT79974900: I want refund for ZENDFiber Home 300 Mbps used in Thailand.,Refund,Neutral
Complaint ID TKT5dbaf586: Poor experience with ZENDArchive Storage.,Complaint,Neutral
Ticket TKTc9b3c187: Please process refund for ZENDSmart Parking.,Refund,Angry
Issue ID TKTabbe2ef7: Facing problem with ZENDCloud VM Basic.,Technical,Neutral
Inquiry ID TKT6e53b073: Need pricing details of ZENDCloud VM Pro.,Product Inquiry,Happy
Ticket TKTa549c1fe: Very frustrated with ZENDSmart Parking service.,Complaint,Angry
Refund request TKTc36cd780: I want refund for ZENDCloud VM Basic used in India.,Refund,Neutral
Ticket TKT6011727d: Cannot access ZENDIndustrial Sensor for enterprise account.,Technical,Angry
Refund ticket TKTcc0051fb: Why no refund for ZENDEnterprise Dedicated in India?,Refund,Neutral
Complaint TKTdb40fc24: I am disappointed with ZENDBiz Connect 1G in India.,Complaint,Angry
Refund request TKT8cf7dd61: I want refund for Postpaid Silver used in USA.,Refund,Neutral
Complaint TKT71a8ae14: I am disappointed with Postpaid Silver in USA.,Complaint,Angry
Ticket TKTdd54fada: Please process refund for ZENDBiz Connect 100.,Refund,Neutral
Invoice INVcc2c6806: I was charged extra for my ZENDFiber Home 1 Gbps plan in Singapore.,Billing,Neutral
Refund ticket TKTd3472487: Why no refund for ZENDFleet IoT in Thailand?,Refund,Neutral
Request TKT4a2daa3d: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Happy
Inquiry TKT5c743da9: Tell me about Prepaid Plus plans in USA.,Product Inquiry,Neutral
Invoice INV15d48c15: Explain charges for ZENDStorage 1TB under enterprise account.,Billing,Neutral
Invoice INVbe845373: I was charged extra for my ZENDArchive Storage plan in Singapore.,Billing,Neutral
Inquiry ID TKTef97926f: Need pricing details of ZENDSmart Lighting.,Product Inquiry,Neutral
Inquiry TKTf727622a: Tell me about ZENDArchive Storage plans in Thailand.,Product Inquiry,Neutral
Issue ID TKTdc8afdc0: Facing problem with Prepaid Plus.,Technical,Neutral
Complaint ID TKT85d5739a: Poor experience with ZENDSmart Parking.,Complaint,Neutral
Inquiry TKTd007a86c: Tell me about ZENDIndustrial Sensor plans in India.,Product Inquiry,Neutral
Request TKT45f8d3c7: Does ZENDCloud VM Pro support premium features?,Product Inquiry,Neutral
Invoice INV24138896: I was charged extra for my ZENDFiber Home 100 Mbps plan in USA.,Billing,Neutral
Issue ID TKT0ce275b0: Facing problem with ZENDArchive Storage.,Technical,Neutral
Issue ID TKT784ee852: Facing problem with ZENDIndustrial Sensor.,Technical,Neutral
Ticket TKTb0e3a8a0: Please process refund for ZENDBiz Connect 500.,Refund,Neutral
Inquiry TKTcc3b34e0: Tell me about ZENDSmart Traffic plans in USA.,Product Inquiry,Neutral
Ticket TKTbc56b8c0: Please process refund for ZENDFleet IoT.,Refund,Neutral
Complaint TKTa276c20c: I am disappointed with ZENDOffice Net 200 in Singapore.,Complaint,Angry
Ticket TKTf0cd253e: Please process refund for ZENDFiber Home 1 Gbps.,Refund,Neutral
Complaint TKT9e893658: I am disappointed with ZENDFiber Home 100 Mbps in USA.,Complaint,Angry
Inquiry TKT0d5cf987: Tell me about Postpaid Gold plans in Thailand.,Product Inquiry,Neutral
Refund ticket TKTb6a4f1ed: Why no refund for Postpaid Platinum in Singapore?,Refund,Neutral
Refund request TKTc9184314: I want refund for ZENDEnterprise Dedicated used in USA.,Refund,Angry
Ticket TKT0c66586e: Very frustrated with ZENDFleet IoT service.,Complaint,Angry
Invoice INV9fe24df3: I was charged extra for my ZENDBiz Connect 100 plan in Thailand.,Billing,Neutral
Request TKT88953547: Does ZENDBiz Connect 100 support premium features?,Product Inquiry,Neutral
Invoice INVb6abbf5f: I was charged extra for my ZENDCloud VM Enterprise plan in Singapore.,Billing,Angry
Refund ticket TKTcd166365: Why no refund for ZENDStorage 1TB in India?,Refund,Neutral
Ticket TKT90dd9be4: Please process refund for ZENDBiz Connect 1G.,Refund,Angry
Invoice INV518a9a0c: My ZENDIndustrial Sensor bill in India seems incorrect.,Billing,Angry
Request TKTafd0976f: Does ZENDSmart Lighting support premium features?,Product Inquiry,Neutral
Request TKT18eacdcf: Does Postpaid Silver support premium features?,Product Inquiry,Neutral
Ticket TKT98a308da: My ZENDBiz Connect 100 service in USA is not working.,Technical,Neutral
Invoice INV843a9ac1: I was charged extra for my ZENDFiber Home 300 Mbps plan in Thailand.,Billing,Neutral
Refund request TKTd381bec6: I want refund for ZENDBiz Connect 1G used in Singapore.,Refund,Neutral
Invoice INV557c4e31: I was charged extra for my ZENDIndustrial Sensor plan in Singapore.,Billing,Neutral
Ticket TKTba1487e6: Cannot access Postpaid Platinum for enterprise account.,Technical,Angry
Complaint TKT93c2a79a: I am disappointed with Postpaid Platinum in USA.,Complaint,Angry
Complaint TKT2a3f6c4e: I am disappointed with Postpaid Silver in Thailand.,Complaint,Angry
Issue ID TKTeebdd0cd: Facing problem with ZENDEnterprise Dedicated.,Technical,Angry
Ticket TKTbd7671e9: Cannot access ZENDBiz Connect 500 for individual account.,Technical,Neutral
Invoice INV67f38880: I was charged extra for my ZENDCloud VM Enterprise plan in Singapore.,Billing,Angry
Complaint ID TKT587a920a: Poor experience with ZENDIndustrial Sensor.,Complaint,Angry
Ticket TKT1cc06e03: Cannot access Prepaid Plus for individual account.,Technical,Neutral
Ticket TKT6a649c05: Please process refund for ZENDOffice Net 1G.,Refund,Neutral
Ticket TKTf8b02483: My ZENDFiber Home 100 Mbps service in Thailand is not working.,Technical,Neutral
Ticket TKT6474a6f9: Please process refund for ZENDIndustrial Sensor.,Refund,Neutral
Issue ID TKTdaf6c016: Facing problem with ZENDSmart Lighting.,Technical,Neutral
Refund ticket TKT2fcbbc86: Why no refund for ZENDIndustrial Sensor in Singapore?,Refund,Neutral
Ticket TKTf8aa9896: Please process refund for Prepaid Basic.,Refund,Angry
Invoice INVb6147338: My Postpaid Platinum bill in Singapore seems incorrect.,Billing,Angry
Issue ID TKT27729192: Facing problem with ZENDArchive Storage.,Technical,Neutral
Issue ID TKT64956fe3: Facing problem with ZENDBiz Connect 1G.,Technical,Neutral
Ticket TKTfbac89cc: Very frustrated with ZENDFiber Home 100 Mbps service.,Complaint,Angry
Inquiry TKTb617cfb2: Tell me about ZENDFiber Home 300 Mbps plans in USA.,Product Inquiry,Neutral
Invoice INVcb4f6fb6: My ZENDIndustrial Sensor bill in Singapore seems incorrect.,Billing,Neutral
Ticket TKTfef43d83: Please process refund for ZENDOffice Net 500.,Refund,Neutral
Refund ticket TKT289e5700: Why no refund for ZENDArchive Storage in Thailand?,Refund,Neutral
Refund request TKTedfec09f: I want refund for ZENDFiber Home 300 Mbps used in Thailand.,Refund,Neutral
Ticket TKT4d4d9dd6: My ZENDBiz Connect 1G service in Singapore is not working.,Technical,Neutral
Invoice INV2c5ffdc6: Explain charges for Postpaid Silver under enterprise account.,Billing,Angry
Invoice INV14f4f741: My ZENDSmart Traffic bill in Thailand seems incorrect.,Billing,Angry
Ticket TKTcd8121df: Please process refund for ZENDOffice Net 1G.,Refund,Neutral
Ticket TKT63a1532e: My ZENDBiz Connect 500 service in Singapore is not working.,Technical,Neutral
Ticket TKTa756d08b: My ZENDCloud VM Enterprise service in India is not working.,Technical,Neutral
Refund ticket TKT362d1b78: Why no refund for Postpaid Silver in Singapore?,Refund,Neutral
Inquiry ID TKTd82f3dcb: Need pricing details of ZENDIndustrial Sensor.,Product Inquiry,Happy
Request TKTd39966cc: Does ZENDOffice Net 200 support premium features?,Product Inquiry,Neutral
Complaint TKTc803c6b5: I am disappointed with ZENDSmart Lighting in Thailand.,Complaint,Neutral
Invoice INVdbb07db8: Explain charges for ZENDCloud VM Basic under enterprise account.,Billing,Angry
Ticket TKT5367c247: Very frustrated with ZENDSmart Traffic service.,Complaint,Neutral
Invoice INVed935317: Explain charges for ZENDBiz Connect 1G under individual account.,Billing,Neutral
Request TKTdbf90fdd: Does ZENDFiber Home 1 Gbps support premium features?,Product Inquiry,Neutral
Ticket TKTe32b03ff: Very frustrated with ZENDCloud VM Pro service.,Complaint,Angry
Ticket TKTeae29984: Cannot access Prepaid Basic for individual account.,Technical,Neutral
Complaint TKT91f3f9aa: I am disappointed with Postpaid Silver in USA.,Complaint,Angry
Refund request TKTa8595a1d: I want refund for ZENDOffice Net 500 used in India.,Refund,Neutral
Inquiry ID TKT017f9e6b: Need pricing details of ZENDSmart Lighting.,Product Inquiry,Happy
Issue ID TKT37d09a8c: Facing problem with ZENDFiber Home 300 Mbps.,Technical,Neutral
Issue ID TKT0f41d580: Facing problem with ZENDFiber Home 100 Mbps.,Technical,Angry
Complaint ID TKTaba81bcc: Poor experience with ZENDStorage 1TB.,Complaint,Neutral
Inquiry TKTc2467ee9: Tell me about ZENDSmart Parking plans in Singapore.,Product Inquiry,Happy
Ticket TKTf7e26386: Cannot access ZENDSmart Parking for individual account.,Technical,Angry
Complaint TKT50fc780a: I am disappointed with ZENDFiber Home 100 Mbps in India.,Complaint,Angry
Complaint TKT396d64ad: I am disappointed with Prepaid Plus in Thailand.,Complaint,Neutral
Invoice INVcaf3da98: My ZENDStorage 1TB bill in Singapore seems incorrect.,Billing,Neutral
Invoice INVc375817d: Explain charges for ZENDSmart Parking under enterprise account.,Billing,Neutral
Ticket TKTec6cb693: Please process refund for ZENDEnterprise Ultra.,Refund,Neutral
Complaint ID TKT88e068cd: Poor experience with ZENDFleet IoT.,Complaint,Angry
Ticket TKT02b4b90a: Cannot access ZENDFiber Home 1 Gbps for individual account.,Technical,Neutral
Inquiry ID TKT4b9ffd49: Need pricing details of Postpaid Silver.,Product Inquiry,Neutral
Complaint ID TKT8d364a72: Poor experience with ZENDCloud VM Basic.,Complaint,Angry
Ticket TKTd21b492f: Cannot access Prepaid Basic for enterprise account.,Technical,Neutral
Inquiry TKTfecb8786: Tell me about ZENDStorage 10TB plans in Thailand.,Product Inquiry,Neutral
Refund ticket TKT57db62df: Why no refund for ZENDBiz Connect 1G in USA?,Refund,Neutral
Inquiry TKTe29defb2: Tell me about ZENDBiz Connect 500 plans in India.,Product Inquiry,Neutral
Refund ticket TKT444edbb3: Why no refund for ZENDBiz Connect 500 in Thailand?,Refund,Neutral
Complaint TKTa835e593: I am disappointed with ZENDFiber Home 100 Mbps in Singapore.,Complaint,Neutral
Invoice INVdfdeb49a: Explain charges for ZENDFleet IoT under individual account.,Billing,Angry
Ticket TKTb11fb66d: Very frustrated with Postpaid Platinum service.,Complaint,Angry
Request TKT47757d8a: Does ZENDBiz Connect 100 support premium features?,Product Inquiry,Neutral
Invoice INV42004c86: My ZENDCloud VM Basic bill in USA seems incorrect.,Billing,Angry
Refund ticket TKT86a2039e: Why no refund for ZENDOffice Net 500 in India?,Refund,Neutral
Inquiry ID TKTf4fedd6c: Need pricing details of ZENDSmart Parking.,Product Inquiry,Neutral
Issue ID TKT2d447b19: Facing problem with ZENDCloud VM Pro.,Technical,Neutral
Ticket TKT650813df: My ZENDOffice Net 1G service in Thailand is not working.,Technical,Angry
Inquiry ID TKT6f447625: Need pricing details of ZENDStorage 10TB.,Product Inquiry,Neutral
Refund ticket TKT898091c3: Why no refund for ZENDSmart Parking in USA?,Refund,Neutral
Invoice INV02d8d2c5: I was charged extra for my ZENDBiz Connect 100 plan in Thailand.,Billing,Neutral
Issue ID TKT96c94a93: Facing problem with ZENDEnterprise Ultra.,Technical,Neutral
Issue ID TKT2acc562b: Facing problem with ZENDEnterprise Dedicated.,Technical,Neutral
Inquiry ID TKT4c314f50: Need pricing details of ZENDCloud VM Pro.,Product Inquiry,Happy
Refund ticket TKT0df3007e: Why no refund for ZENDOffice Net 500 in Singapore?,Refund,Neutral
Ticket TKT51cabf8c: Cannot access ZENDCloud VM Pro for enterprise account.,Technical,Neutral
Invoice INVc1d5943c: Explain charges for ZENDSmart Parking under enterprise account.,Billing,Neutral
Issue ID TKT704e5c7a: Facing problem with Postpaid Platinum.,Technical,Angry
Complaint TKT7af0a4fe: I am disappointed with ZENDStorage 1TB in Singapore.,Complaint,Angry
Refund ticket TKT3081be8f: Why no refund for ZENDCloud VM Basic in USA?,Refund,Neutral
Refund request TKT8dbaa17c: I want refund for ZENDStorage 10TB used in Singapore.,Refund,Neutral
Invoice INV90d13237: Explain charges for ZENDSmart Parking under individual account.,Billing,Neutral
Invoice INV90bb7c5e: Explain charges for ZENDFleet IoT under individual account.,Billing,Neutral
Invoice INV17f787d6: I was charged extra for my Prepaid Plus plan in Thailand.,Billing,Neutral
Issue ID TKTe3b305a7: Facing problem with ZENDOffice Net 1G.,Technical,Neutral
Complaint TKTd0e19f75: I am disappointed with ZENDFiber Home 100 Mbps in USA.,Complaint,Angry
Invoice INVad8f4dc5: Explain charges for Prepaid Basic under enterprise account.,Billing,Neutral
Invoice INV9c541a56: Explain charges for Postpaid Platinum under enterprise account.,Billing,Neutral
Issue ID TKT2432f223: Facing problem with ZENDCloud VM Pro.,Technical,Neutral
Inquiry TKT72e9f2a0: Tell me about Prepaid Unlimited plans in Singapore.,Product Inquiry,Neutral
Refund request TKT42887979: I want refund for ZENDBiz Connect 100 used in USA.,Refund,Angry
Inquiry TKT3ffbdfcc: Tell me about ZENDArchive Storage plans in USA.,Product Inquiry,Neutral
Invoice INV26c4c274: I was charged extra for my Postpaid Gold plan in USA.,Billing,Neutral
Invoice INV31fe10cc: My Prepaid Unlimited bill in Singapore seems incorrect.,Billing,Neutral
Issue ID TKT8df67213: Facing problem with ZENDSmart Parking.,Technical,Neutral
Issue ID TKT6a124c8c: Facing problem with ZENDStorage 1TB.,Technical,Neutral
Inquiry ID TKTdbf996c5: Need pricing details of ZENDOffice Net 1G.,Product Inquiry,Neutral
Refund request TKT23fca87d: I want refund for ZENDFleet IoT used in Thailand.,Refund,Neutral
Ticket TKT6467a294: My ZENDEnterprise Ultra service in Singapore is not working.,Technical,Neutral
Ticket TKT68e897e8: My ZENDSmart Parking service in India is not working.,Technical,Neutral
Inquiry ID TKTbd621424: Need pricing details of Postpaid Platinum.,Product Inquiry,Happy
Ticket TKTbe51d57d: Very frustrated with Postpaid Platinum service.,Complaint,Angry
Invoice INV1349a025: My ZENDArchive Storage bill in Singapore seems incorrect.,Billing,Neutral
Invoice INV8ef5764e: I was charged extra for my ZENDStorage 10TB plan in Thailand.,Billing,Neutral
Invoice INV022cb650: I was charged extra for my ZENDEnterprise Ultra plan in India.,Billing,Neutral
Ticket TKTac107f26: Please process refund for ZENDStorage 10TB.,Refund,Neutral
Complaint ID TKT5bf3a7d2: Poor experience with Prepaid Basic.,Complaint,Neutral
Invoice INVbf2fde30: Explain charges for ZENDBiz Connect 500 under individual account.,Billing,Neutral
Request TKT28cbdd3d: Does ZENDCloud VM Pro support premium features?,Product Inquiry,Neutral
Refund ticket TKTc49c0a03: Why no refund for ZENDEnterprise Dedicated in USA?,Refund,Neutral
Complaint TKTf826e0ec: I am disappointed with ZENDFleet IoT in USA.,Complaint,Angry
Invoice INVdf8691ad: Explain charges for ZENDFleet IoT under enterprise account.,Billing,Angry
Ticket TKTfcb17b9e: Please process refund for ZENDBiz Connect 100.,Refund,Neutral
Refund ticket TKT606622b4: Why no refund for ZENDCloud VM Basic in USA?,Refund,Angry
Ticket TKTa5b6a6e7: My ZENDFiber Home 1 Gbps service in Singapore is not working.,Technical,Neutral
Inquiry TKTd4cf5bd6: Tell me about ZENDEnterprise Dedicated plans in India.,Product Inquiry,Neutral
Invoice INV68efde25: I was charged extra for my ZENDBiz Connect 1G plan in Thailand.,Billing,Neutral
Refund request TKT3d8bf43a: I want refund for ZENDCloud VM Basic used in USA.,Refund,Neutral
Refund request TKT52d5ad7b: I want refund for ZENDArchive Storage used in India.,Refund,Neutral
Ticket TKTaa9288f5: My ZENDCloud VM Enterprise service in Thailand is not working.,Technical,Angry
Refund ticket TKT3003ae93: Why no refund for ZENDCloud VM Enterprise in USA?,Refund,Neutral
Inquiry TKT0c3b5ba3: Tell me about Prepaid Plus plans in Thailand.,Product Inquiry,Neutral
Ticket TKTbe21ff04: My Postpaid Gold service in USA is not working.,Technical,Angry
Complaint ID TKT379845c8: Poor experience with ZENDFiber Home 100 Mbps.,Complaint,Neutral
Complaint ID TKTed4ba71f: Poor experience with ZENDSmart Parking.,Complaint,Angry
Inquiry ID TKT2ad26483: Need pricing details of Postpaid Gold.,Product Inquiry,Happy
Complaint TKT1255a915: I am disappointed with ZENDFiber Home 100 Mbps in Thailand.,Complaint,Neutral
Refund ticket TKTbe82bd44: Why no refund for ZENDSmart Lighting in Thailand?,Refund,Neutral
Complaint TKTde815933: I am disappointed with Prepaid Plus in USA.,Complaint,Neutral
Refund request TKT31990f90: I want refund for ZENDStorage 1TB used in Thailand.,Refund,Neutral
Complaint TKT4482b47a: I am disappointed with ZENDOffice Net 500 in Singapore.,Complaint,Angry
Complaint TKTc9083980: I am disappointed with Prepaid Plus in India.,Complaint,Angry
Invoice INV6ae8d736: I was charged extra for my ZENDStorage 10TB plan in Singapore.,Billing,Neutral
Refund ticket TKT07c62c26: Why no refund for Postpaid Platinum in Singapore?,Refund,Neutral
Ticket TKT617ec3cc: My Prepaid Plus service in India is not working.,Technical,Neutral
Ticket TKTc3e61ce7: Please process refund for ZENDStorage 1TB.,Refund,Neutral
Invoice INVf93812a2: Explain charges for ZENDSmart Parking under individual account.,Billing,Angry
Ticket TKT369e877f: My ZENDBiz Connect 500 service in Thailand is not working.,Technical,Angry
Ticket TKT08f1c276: My ZENDSmart Traffic service in India is not working.,Technical,Neutral
Invoice INV3a7ee3cf: Explain charges for ZENDOffice Net 1G under enterprise account.,Billing,Neutral
Issue ID TKTd389f020: Facing problem with ZENDCloud VM Basic.,Technical,Neutral
Refund request TKT1e14aff1: I want refund for Postpaid Platinum used in USA.,Refund,Neutral
Ticket TKTa9bdd00e: Please process refund for ZENDCloud VM Basic.,Refund,Angry
Ticket TKTcfb6f66f: Please process refund for ZENDFiber Home 300 Mbps.,Refund,Neutral
Refund request TKT73ef4f1e: I want refund for ZENDCloud VM Enterprise used in Thailand.,Refund,Neutral
Refund request TKT60fcefca: I want refund for Postpaid Silver used in India.,Refund,Neutral
Ticket TKT2bbc42b5: Please process refund for ZENDCloud VM Pro.,Refund,Neutral
Inquiry TKT884dcb8e: Tell me about ZENDArchive Storage plans in USA.,Product Inquiry,Happy
Refund request TKT126eab04: I want refund for ZENDStorage 1TB used in Singapore.,Refund,Neutral
Request TKT954874f6: Does ZENDCloud VM Basic support premium features?,Product Inquiry,Happy
Inquiry ID TKT76ffac11: Need pricing details of Postpaid Platinum.,Product Inquiry,Happy
Invoice INV4275a46f: My ZENDArchive Storage bill in Singapore seems incorrect.,Billing,Neutral
Invoice INVbd58585d: Explain charges for ZENDSmart Parking under enterprise account.,Billing,Neutral
Inquiry ID TKT170079ba: Need pricing details of ZENDFiber Home 100 Mbps.,Product Inquiry,Neutral
Ticket TKT5efa5fae: My ZENDEnterprise Ultra service in Singapore is not working.,Technical,Neutral
Ticket TKTc6283b73: My ZENDOffice Net 200 service in India is not working.,Technical,Angry
Refund ticket TKT7d21d512: Why no refund for ZENDFiber Home 100 Mbps in India?,Refund,Neutral
Invoice INV836135be: Explain charges for ZENDSmart Lighting under enterprise account.,Billing,Neutral
Invoice INV44af731e: I was charged extra for my ZENDStorage 10TB plan in India.,Billing,Angry
Ticket TKTec8abed8: Very frustrated with ZENDOffice Net 500 service.,Complaint,Neutral
Ticket TKTcb01e2ba: Very frustrated with ZENDBiz Connect 500 service.,Complaint,Neutral
Invoice INVe2fd0890: I was charged extra for my Postpaid Gold plan in Singapore.,Billing,Neutral
Refund request TKTdc4cff29: I want refund for ZENDBiz Connect 500 used in USA.,Refund,Angry
Ticket TKT34895fa4: My ZENDOffice Net 500 service in India is not working.,Technical,Angry
Refund ticket TKTceea9878: Why no refund for ZENDEnterprise Ultra in Singapore?,Refund,Neutral
Ticket TKTa9f84080: My ZENDSmart Parking service in India is not working.,Technical,Angry
Invoice INV06a572f5: Explain charges for Prepaid Basic under enterprise account.,Billing,Neutral
Request TKT71e4b2dc: Does Postpaid Silver support premium features?,Product Inquiry,Neutral
Invoice INV7bb23f7a: My ZENDBiz Connect 1G bill in Thailand seems incorrect.,Billing,Neutral
Ticket TKT4c1914dc: My ZENDFiber Home 100 Mbps service in USA is not working.,Technical,Neutral
Invoice INV37c286dd: My Prepaid Plus bill in Singapore seems incorrect.,Billing,Angry
Refund ticket TKT5ed8efb1: Why no refund for ZENDEnterprise Ultra in Thailand?,Refund,Neutral
Invoice INVdaabe9e6: My ZENDBiz Connect 500 bill in Thailand seems incorrect.,Billing,Angry
Issue ID TKT44456572: Facing problem with ZENDBiz Connect 500.,Technical,Neutral
Ticket TKTb3b53778: Please process refund for ZENDArchive Storage.,Refund,Angry
Ticket TKTb735aa35: Please process refund for ZENDBiz Connect 500.,Refund,Neutral
Inquiry TKT9f2e6711: Tell me about ZENDOffice Net 200 plans in Singapore.,Product Inquiry,Neutral
Inquiry ID TKT7b302787: Need pricing details of ZENDFiber Home 1 Gbps.,Product Inquiry,Neutral
Invoice INVb6c57cf3: My Postpaid Gold bill in Thailand seems incorrect.,Billing,Neutral
Ticket TKT4f2a8751: Cannot access ZENDFleet IoT for enterprise account.,Technical,Neutral
Issue ID TKT929468de: Facing problem with ZENDFiber Home 100 Mbps.,Technical,Angry
Complaint TKTf60e1fd8: I am disappointed with ZENDBiz Connect 500 in India.,Complaint,Neutral
Invoice INV0b239308: My ZENDSmart Parking bill in Singapore seems incorrect.,Billing,Neutral
Inquiry TKT0f566a22: Tell me about Prepaid Basic plans in Singapore.,Product Inquiry,Neutral
Invoice INVc5726104: I was charged extra for my ZENDSmart Lighting plan in India.,Billing,Neutral
Ticket TKTba3cb3f4: Very frustrated with Postpaid Silver service.,Complaint,Angry
Ticket TKT373238cd: Very frustrated with Postpaid Silver service.,Complaint,Neutral
Complaint TKTdd3e7d74: I am disappointed with ZENDOffice Net 500 in Thailand.,Complaint,Angry
Ticket TKT09936e03: Very frustrated with ZENDSmart Parking service.,Complaint,Neutral
Refund ticket TKT3ca57654: Why no refund for ZENDStorage 1TB in India?,Refund,Neutral
Complaint ID TKT0fb26349: Poor experience with ZENDSmart Traffic.,Complaint,Neutral
Invoice INV1472a7b4: I was charged extra for my ZENDEnterprise Ultra plan in Thailand.,Billing,Neutral
Complaint ID TKT89edc345: Poor experience with Postpaid Gold.,Complaint,Angry
Ticket TKT600d2d2a: Please process refund for ZENDBiz Connect 100.,Refund,Angry
Refund ticket TKT4558d40a: Why no refund for ZENDSmart Lighting in Thailand?,Refund,Neutral
Refund ticket TKT3c51937a: Why no refund for Postpaid Silver in India?,Refund,Angry
Invoice INV11965683: Explain charges for ZENDIndustrial Sensor under enterprise account.,Billing,Neutral
Issue ID TKTe709c77b: Facing problem with ZENDOffice Net 1G.,Technical,Neutral
Complaint ID TKT594b8e7f: Poor experience with ZENDOffice Net 1G.,Complaint,Neutral
Request TKT9a5d26e2: Does Prepaid Plus support premium features?,Product Inquiry,Neutral
Request TKT5057a7ca: Does ZENDCloud VM Enterprise support premium features?,Product Inquiry,Neutral
Invoice INV8040fafb: My Prepaid Unlimited bill in USA seems incorrect.,Billing,Neutral
Invoice INVb06d7be5: Explain charges for ZENDBiz Connect 1G under individual account.,Billing,Neutral
Invoice INVe44a55a9: I was charged extra for my Prepaid Unlimited plan in Singapore.,Billing,Neutral
Inquiry ID TKTd220a027: Need pricing details of Postpaid Platinum.,Product Inquiry,Happy
Inquiry ID TKT68cac677: Need pricing details of ZENDFiber Home 300 Mbps.,Product Inquiry,Neutral
Refund ticket TKT43b8caf7: Why no refund for ZENDFiber Home 100 Mbps in Thailand?,Refund,Neutral
Refund ticket TKT7a41ef34: Why no refund for ZENDEnterprise Dedicated in Singapore?,Refund,Angry
Ticket TKTfa9344fd: Please process refund for ZENDEnterprise Dedicated.,Refund,Neutral
Complaint ID TKTd800be9f: Poor experience with ZENDCloud VM Basic.,Complaint,Angry
Complaint ID TKT1efd3bac: Poor experience with ZENDBiz Connect 500.,Complaint,Angry
Inquiry ID TKT34ed956e: Need pricing details of ZENDBiz Connect 100.,Product Inquiry,Happy
Invoice INV5444df83: I was charged extra for my ZENDSmart Lighting plan in Singapore.,Billing,Neutral
Request TKT084e50b9: Does ZENDFiber Home 300 Mbps support premium features?,Product Inquiry,Happy
Invoice INV26057a0f: I was charged extra for my ZENDCloud VM Basic plan in Singapore.,Billing,Angry
Ticket TKT7d2ec976: Please process refund for ZENDStorage 1TB.,Refund,Neutral
Ticket TKTb7cc7b73: Please process refund for ZENDFleet IoT.,Refund,Neutral
Refund ticket TKTf6652421: Why no refund for ZENDOffice Net 500 in Singapore?,Refund,Neutral
Ticket TKTa1df29ac: Please process refund for ZENDOffice Net 200.,Refund,Neutral
Issue ID TKTe55c333f: Facing problem with ZENDEnterprise Ultra.,Technical,Neutral
Invoice INV10b8e4f8: My Prepaid Plus bill in India seems incorrect.,Billing,Neutral
Complaint ID TKT3906ab86: Poor experience with ZENDOffice Net 500.,Complaint,Neutral
Refund request TKT27f7b279: I want refund for ZENDIndustrial Sensor used in Thailand.,Refund,Angry
Complaint TKT2bd13219: I am disappointed with ZENDEnterprise Dedicated in Singapore.,Complaint,Angry
Inquiry TKTa8f48407: Tell me about ZENDFleet IoT plans in Singapore.,Product Inquiry,Neutral
Complaint ID TKT2e05dd8c: Poor experience with ZENDSmart Lighting.,Complaint,Angry
Invoice INV47f7ad74: My ZENDBiz Connect 100 bill in India seems incorrect.,Billing,Neutral
Issue ID TKT3cd6f3bb: Facing problem with ZENDIndustrial Sensor.,Technical,Neutral
Invoice INVa7fd753a: I was charged extra for my ZENDEnterprise Dedicated plan in USA.,Billing,Neutral
Complaint TKTc484f163: I am disappointed with ZENDFleet IoT in USA.,Complaint,Angry
Ticket TKT76a8427c: My Postpaid Silver service in Singapore is not working.,Technical,Neutral
Request TKTfab1d567: Does ZENDArchive Storage support premium features?,Product Inquiry,Neutral
Request TKT9cc70a5d: Does ZENDOffice Net 1G support premium features?,Product Inquiry,Neutral
Complaint ID TKT9fb9ae15: Poor experience with ZENDOffice Net 500.,Complaint,Neutral
Ticket TKTa6f35106: My ZENDCloud VM Pro service in India is not working.,Technical,Neutral
Ticket TKTb8da8499: Please process refund for ZENDFiber Home 1 Gbps.,Refund,Neutral
Inquiry TKT9021e0af: Tell me about ZENDSmart Parking plans in USA.,Product Inquiry,Happy
Complaint ID TKT175894e7: Poor experience with ZENDEnterprise Dedicated.,Complaint,Neutral
Ticket TKT2addad2b: Please process refund for ZENDOffice Net 200.,Refund,Neutral
Ticket TKT652fed4f: Please process refund for Postpaid Platinum.,Refund,Neutral
Request TKT9a424c41: Does ZENDFiber Home 100 Mbps support premium features?,Product Inquiry,Neutral
Inquiry ID TKTd0e87ee5: Need pricing details of ZENDFiber Home 100 Mbps.,Product Inquiry,Happy
